time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVJPG,NVJPG1,OFA,SE,VIC,DLA0,DLA1,PVA,NVENC,NVJPG0,Fan pwmfan0,Temp cpu,Temp cv0,Temp cv1,Temp cv2,Temp gpu,Temp soc0,Temp soc1,Temp soc2,Temp tj,Power VDD_CPU_GPU_CV,Power VDD_SOC,Power TOT,jetson_clocks,nvp model
2026-08-16 19:48:34.127314,2:57:21.210000,8,7,6,5,14,14,0.3245855105327155,0.02747396074033451,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,55.294117647058826,67.812,-256,-256,-256,67.593,67.593,68.187,67.031,68.187,1600,2346,6804,ON,MAXN_SUPER
2026-08-16 19:48:35.799737,4:32:56.880000,8,5,4,3,13,11,0.4727074706694272,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.343,-256,-256,-256,58.718,58.531,59.875,58.375,59.875,2381,2615,8602,ON,MAXN_SUPER
2026-08-16 19:48:36.208253,4:32:57.880000,31,14,58,12,100,0,0.5003450655624568,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.437,-256,-256,-256,58.812,58.593,59.812,58.281,59.812,2260,2576,8641,ON,MAXN_SUPER
2026-08-16 19:48:36.931841,4:32:58.880000,16,51,39,3,100,2,0.5290276134608433,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.281,-256,-256,-256,58.687,58.625,59.906,58.218,59.906,2182,2576,8602,ON,MAXN_SUPER
2026-08-16 19:48:37.938947,4:32:59.880000,43,22,48,26,88,39,0.47279271007920076,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.687,-256,-256,-256,58.843,58.656,59.968,58.406,59.968,2884,2615,9213,ON,MAXN_SUPER
2026-08-16 19:48:38.939940,4:33:00.880000,100,9,9,7,5,100,0.4545961500542246,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.562,-256,-256,-256,58.781,58.656,59.906,58.562,59.906,2845,2654,9096,ON,MAXN_SUPER
2026-08-16 19:48:39.940892,4:33:01.880000,100,4,4,3,0,100,0.49350126524039567,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.312,-256,-256,-256,58.812,58.718,59.843,58.5,59.843,2806,2654,9018,ON,MAXN_SUPER
2026-08-16 19:48:40.941913,4:33:02.880000,68,10,13,46,41,64,0.5186099198133359,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.781,-256,-256,-256,59.031,58.718,59.906,58.468,59.906,2806,2654,9057,ON,MAXN_SUPER
2026-08-16 19:48:41.942911,4:33:03.880000,19,4,2,100,100,0,0.5566600734496697,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.875,-256,-256,-256,58.875,58.718,59.812,58.5,59.875,2806,2654,9057,ON,MAXN_SUPER
2026-08-16 19:48:42.943754,4:33:04.880000,4,5,3,100,100,0,0.5911907637451116,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.812,-256,-256,-256,59.156,58.687,60.093,58.531,60.093,2845,2654,9057,ON,MAXN_SUPER
2026-08-16 19:48:43.944671,4:33:05.880000,4,2,3,100,100,0,0.47239167406092875,0.058365734778509676,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.906,-256,-256,-256,58.906,58.718,60.0,58.593,60.0,2845,2654,9057,ON,MAXN_SUPER
2026-08-16 19:48:44.945581,4:33:06.880000,3,3,3,100,100,0,0.5244847637122482,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.593,-256,-256,-256,58.968,58.718,59.968,58.5,59.968,2767,2693,9057,ON,MAXN_SUPER
2026-08-16 19:48:45.946290,4:33:07.880000,2,2,4,100,100,0,0.5546523259062079,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.781,-256,-256,-256,58.968,58.75,59.906,58.593,59.906,2884,2615,9057,ON,MAXN_SUPER
2026-08-16 19:48:46.947118,4:33:08.880000,2,4,3,23,100,0,0.5834288425515134,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.562,-256,-256,-256,58.968,58.718,59.906,58.437,59.906,2381,2576,8446,ON,MAXN_SUPER
2026-08-16 19:48:47.948092,4:33:09.880000,4,2,2,20,100,1,0.5420805399454468,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.437,-256,-256,-256,59.093,58.718,59.968,58.437,59.968,2264,2576,8329,ON,MAXN_SUPER
2026-08-16 19:48:48.949007,4:33:10.880000,12,4,12,21,100,0,0.4919222821979033,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.468,-256,-256,-256,58.843,58.781,59.968,58.406,59.968,2342,2576,8446,ON,MAXN_SUPER
2026-08-16 19:48:49.950180,4:33:11.880000,17,4,13,22,100,0,0.5377631124913733,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.375,-256,-256,-256,59.093,58.75,59.906,58.593,59.906,2533,2615,8720,ON,MAXN_SUPER
2026-08-16 19:48:50.951026,4:33:12.880000,99,5,9,2,100,1,0.5687861497255907,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.562,-256,-256,-256,58.937,58.718,59.875,58.656,60.031,2728,2693,9096,ON,MAXN_SUPER
2026-08-16 19:48:51.951737,4:33:13.880000,97,4,5,3,100,0,0.5984941379933616,0.05830000759970505,0,0.0,OFF,OFF,499200,OFF,537600,OFF,115200,OFF,OFF,OFF,OFF,OFF,42.35294117647059,59.75,-256,-256,-256,59.187,58.843,59.968,58.687,59.968,2806,2654,9057,ON,MAXN_SUPER
